
Please build project in debug configuration to get more details about an exception.
See https://docs.platformio.org/page/projectconf/build_configurations.html


--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
I 00:09:25.607 |        main.cpp: 194 |  free heap size: 21556 biggest block : 20480 
I 00:09:26.616 |        main.cpp: 194 |  free heap size: 21304 biggest block : 20480 
I 00:09:27.625 |        main.cpp: 194 |  free heap size: 23132 biggest block : 22528 
I 00:09:28.644 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:09:29.653 |        main.cpp: 194 |  free heap size: 28588 biggest block : 26624 
I 00:09:30.663 |        main.cpp: 194 |  free heap size: 28796 biggest block : 25600 
I 00:09:31.682 |        main.cpp: 194 |  free heap size: 30352 biggest block : 26624 
I 00:09:32.693 |        main.cpp: 194 |  free heap size: 30340 biggest block : 26624 
I 00:09:33.710 |        main.cpp: 194 |  free heap size: 30352 biggest block : 26624 
I 00:09:34.723 |        main.cpp: 194 |  free heap size: 23124 biggest block : 22528 
I 00:09:35.740 |        main.cpp: 194 |  free heap size: 23124 biggest block : 20480 
I 00:09:36.750 |        main.cpp: 194 |  free heap size: 23088 biggest block : 22528 
I 00:09:37.768 |        main.cpp: 194 |  free heap size: 23112 biggest block : 22528 
I 00:09:38.780 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:09:39.798 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:09:40.810 |        main.cpp: 194 |  free heap size: 30340 biggest block : 26624 
I 00:09:41.824 |        main.cpp: 194 |  free heap size: 27032 biggest block : 23552 
I 00:09:42.840 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:09:43.858 |        main.cpp: 194 |  free heap size: 30352 biggest block : 26624 
I 00:09:44.871 |        main.cpp: 194 |  free heap size: 28588 biggest block : 26624 
I 00:09:45.889 |        main.cpp: 194 |  free heap size: 27040 biggest block : 23552 
I 00:09:46.919 |        main.cpp: 194 |  free heap size: 30352 biggest block : 26624 
I 00:09:47.931 |        main.cpp: 194 |  free heap size: 23120 biggest block : 22528 
I 00:09:48.942 |        main.cpp: 194 |  free heap size: 23112 biggest block : 21504 
I 00:09:49.966 |        main.cpp: 194 |  free heap size: 23112 biggest block : 22528 
I 00:09:50.975 |        main.cpp: 194 |  free heap size: 23132 biggest block : 20480 
I 00:09:51.983 |        main.cpp: 194 |  free heap size: 23112 biggest block : 21504 
I 00:09:53.015 |        main.cpp: 194 |  free heap size: 26544 biggest block : 25600 
I 00:09:54.030 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:09:55.042 |        main.cpp: 194 |  free heap size: 28788 biggest block : 25600 
I 00:09:56.055 |        main.cpp: 194 |  free heap size: 30340 biggest block : 26624 
I 00:09:57.069 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:09:58.080 |        main.cpp: 194 |  free heap size: 28784 biggest block : 22528 
I 00:09:59.094 |        main.cpp: 194 |  free heap size: 23120 biggest block : 22528 
I 00:10:00.128 |        main.cpp: 194 |  free heap size: 30344 biggest block : 26624 
I 00:10:01.140 |        main.cpp: 194 |  free heap size: 21260 biggest block : 20480 
I 00:10:02.147 |        main.cpp: 194 |  free heap size: 21288 biggest block : 20480 
I 00:10:03.171 |        main.cpp: 194 |  free heap size: 23180 biggest block : 20480 
I 00:10:04.191 |        main.cpp: 194 |  free heap size: 24832 biggest block : 23552 
I 00:10:05.215 |        main.cpp: 194 |  free heap size: 23172 biggest block : 20480 
I 00:10:06.238 |        main.cpp: 194 |  free heap size: 24940 biggest block : 22528 
I 00:10:07.245 |        main.cpp: 194 |  free heap size: 28528 biggest block : 25600 
I 00:10:08.263 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:10:09.273 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:10:10.289 |        main.cpp: 194 |  free heap size: 30352 biggest block : 26624 
I 00:10:11.301 |        main.cpp: 194 |  free heap size: 28800 biggest block : 26624 
I 00:10:12.315 |        main.cpp: 194 |  free heap size: 28800 biggest block : 18432 
I 00:10:13.339 |        main.cpp: 194 |  free heap size: 30356 biggest block : 26624 
I 00:10:14.348 |        main.cpp: 194 |  free heap size: 23112 biggest block : 22528 
I 00:10:15.360 |        main.cpp: 194 |  free heap size: 24944 biggest block : 22528 
I 00:10:16.369 |        main.cpp: 194 |  free heap size: 23132 biggest block : 22528 
I 00:10:17.386 |        main.cpp: 194 |  free heap size: 26720 biggest block : 25600 
I 00:10:18.413 |        main.cpp: 194 |  free heap size: 26716 biggest block : 25600 
I 00:10:19.438 |        main.cpp: 194 |  free heap size: 23176 biggest block : 22528 
I 00:10:20.458 |        main.cpp: 194 |  free heap size: 28552 biggest block : 26624 
I 00:10:21.476 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:10:22.502 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:10:23.515 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:10:24.526 |        main.cpp: 194 |  free heap size: 28788 biggest block : 26624 
I 00:10:25.536 |        main.cpp: 194 |  free heap size: 28800 biggest block : 26624 
I 00:10:26.565 |        main.cpp: 194 |  free heap size: 28784 biggest block : 26624 
I 00:10:27.578 |        main.cpp: 194 |  free heap size: 28776 biggest block : 25600 
I 00:10:28.590 |        main.cpp: 194 |  free heap size: 30340 biggest block : 26624 
I 00:10:29.612 |        main.cpp: 194 |  free heap size: 22560 biggest block : 20480 
I 00:10:30.633 |        main.cpp: 194 |  free heap size: 21328 biggest block : 20480 
I 00:10:31.659 |        main.cpp: 194 |  free heap size: 23096 biggest block : 22528 
I 00:10:32.673 |        main.cpp: 194 |  free heap size: 21548 biggest block : 20480 
I 00:10:33.687 |        main.cpp: 194 |  free heap size: 23124 biggest block : 22528 
I 00:10:34.695 |        main.cpp: 194 |  free heap size: 24940 biggest block : 23552 
I 00:10:35.715 |        main.cpp: 194 |  free heap size: 26728 biggest block : 25600 
I 00:10:36.744 |        main.cpp: 194 |  free heap size: 23164 biggest block : 20480 
I 00:10:37.763 |        main.cpp: 194 |  free heap size: 26500 biggest block : 25600 
I 00:10:38.788 |        main.cpp: 194 |  free heap size: 23124 biggest block : 22528 
I 00:10:39.809 |        main.cpp: 194 |  free heap size: 28548 biggest block : 26624 
I 00:10:40.819 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:10:41.832 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:10:42.843 |        main.cpp: 194 |  free heap size: 28784 biggest block : 26624 
I 00:10:43.853 |        main.cpp: 194 |  free heap size: 28796 biggest block : 22528 
I 00:10:44.870 |        main.cpp: 194 |  free heap size: 30344 biggest block : 26624 
I 00:10:45.889 |        main.cpp: 194 |  free heap size: 23124 biggest block : 22528 
I 00:10:46.900 |        main.cpp: 194 |  free heap size: 23124 biggest block : 22528 
I 00:10:47.914 |        main.cpp: 194 |  free heap size: 23128 biggest block : 22528 
I 00:10:48.932 |        main.cpp: 194 |  free heap size: 24916 biggest block : 23552 
I 00:10:49.944 |        main.cpp: 194 |  free heap size: 26432 biggest block : 25600 
I 00:10:50.970 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:10:51.978 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:10:52.996 |        main.cpp: 194 |  free heap size: 27016 biggest block : 26624 
I 00:10:54.010 |        main.cpp: 194 |  free heap size: 28784 biggest block : 26624 
I 00:10:55.021 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:10:56.042 |        main.cpp: 194 |  free heap size: 30340 biggest block : 26624 
I 00:10:57.062 |        main.cpp: 194 |  free heap size: 27044 biggest block : 22528 
I 00:10:58.075 |        main.cpp: 194 |  free heap size: 23132 biggest block : 20480 
I 00:10:59.083 |        main.cpp: 194 |  free heap size: 26724 biggest block : 23552 
I 00:11:00.103 |        main.cpp: 194 |  free heap size: 26752 biggest block : 23552 
